wp,we,wd,execution_time
0.35,0.3,0.35,161.43540358543396
0.35,0.3,0.35,157.92266035079956
0.35,0.3,0.35,160.06871056556702
0.35,0.3,0.35,157.9911859035492
0.35,0.3,0.35,158.96625638008118
