nta,boro_name,name,shape_area,population,population_density,engine_incident_average_duration_first_shift,engine_incident_average_duration_second_shift,ladder_incident_average_duration_first_shift,ladder_incident_average_duration_second_shift,rescue_incident_average_duration_first_shift,rescue_incident_average_duration_second_shift,squad_incident_average_duration_first_shift,squad_incident_average_duration_second_shift,hazardous_incident_average_duration_first_shift,hazardous_incident_average_duration_second_shift,engine_needed_per_density_first_shift,engine_needed_per_density_second_shift,ladder_needed_per_density_first_shift,ladder_needed_per_density_second_shift,rescue_needed_per_density_first_shift,rescue_needed_per_density_second_shift,squad_needed_per_density_first_shift,squad_needed_per_density_second_shift,hazardous_needed_per_density_first_shift,hazardous_needed_per_density_second_shift
MN12,Manhattan,Upper West Side,0.08956058644811069,1.0,0.6742443236680533,0.0,1415.8997050147493,0.0,1554.6126984126984,0.0,1468.5625,0.0,1650.3333333333333,0.0,1419.860465116279,0.0,0.16327568030774955,0.0,0.15211559363557334,0.0,0.14911899432434753,0.0,0.09175226282780614,0.0,0.1924559659314958
MN14,Manhattan,Lincoln Square,0.031808921947190684,0.46449561105319614,0.6812153619897776,0.0,1753.1439393939395,0.0,1691.0423242467718,0.0,1491.590909090909,0.0,1511.65,0.0,1835.5154639175257,0.0,0.7605783236237817,0.0,0.732118667125419,0.0,0.8919719132542564,0.0,0.665244126034575,0.0,0.9443221496393235
QN70,Queens,Astoria,0.10496731971793366,0.595212195379897,0.35076372691121377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN72,Queens,Steinway,0.1621482308960874,0.35907779238242005,0.14419269855458489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX44,Bronx,Williamsbridge-Olinville,0.09545424537804298,0.4632265180014806,0.29600768937416966,1582.0160329821347,0.0,1585.0045334340764,0.0,1468.865,0.0,1493.1041666666667,0.0,1977.8135593220338,0.0,0.5097966160479698,0.0,0.5250640056026673,0.0,0.4802407264663811,0.0,0.4650115336309764,0.0,0.600639897606678,0.0
BX17,Bronx,East Tremont,0.04253387195647616,0.3280227832419284,0.39489081996292086,1546.5349932705249,0.0,1575.3187919463087,0.0,1456.398773006135,0.0,1730.4,0.0,1550.943661971831,0.0,0.6537707271563346,0.0,0.6681735339434044,0.0,0.7373607987693905,0.0,0.7756661983399789,0.0,0.680853959141094,0.0
BX36,Bronx,University Heights-Morris Heights,0.04875310907272678,0.40934294218072487,0.4464149392833041,1521.4639689578714,0.0,1633.5333333333333,0.0,1355.848167539267,0.0,1331.5806451612902,0.0,1470.0941176470587,0.0,0.7189878961359877,0.0,0.7261518297275094,0.0,0.7827159652329727,0.0,0.7688069022429712,0.0,0.7384021094988991,0.0
QN20,Queens,Ridgewood,0.13966719511746506,0.5236293039628941,0.24037898559313026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN21,Queens,Middle Village,0.16202338272266706,0.28652041880070706,0.11513636084115195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX14,Bronx,East Concourse-Concourse Village,0.03931973356231871,0.4705011406729215,0.5985469196857477,1441.9873843566022,0.0,1473.6577086280056,0.0,1393.7583333333334,0.0,1659.58,0.0,1694.3265306122448,0.0,0.5527808725536243,0.0,0.5583874584478152,0.0,0.5736383494125205,0.0,0.48215917557717297,0.0,0.49654222895032263,0.0
